Data;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24364 - Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice;29039 - Índice de Commodities - Brasil - Energia (em US Dólares) - Índice;29040 - Índice de Commodities - Brasil - Metal (em US Dólares) - Índice;29041 - Índice de Commodities - Brasil - Agropecuária (em US Dólares) - Índice;29042 - Índice de Commodities - Brasil (em US Dólares) - Índice;29601 - Índice de Atividade Econômica do Banco Central (IBC-Br) Agropecuária - Índice
04/2017;93,78511 ;94,93843 ;59,25 ;141,17 ;120,57 ;113,81 ;148,75808
05/2017;95,21442 ;94,80045 ;57,50 ;139,06 ;122,32 ;113,99 ;85,36079
06/2017;94,58807 ;95,25823 ;54,20 ;137,88 ;119,25 ;110,83 ;87,39273
07/2017;97,01793 ;95,35418 ;55,52 ;142,30 ;119,89 ;112,35 ;108,28136
08/2017;98,23099 ;95,06162 ;57,56 ;150,13 ;116,17 ;111,89 ;89,02514
09/2017;94,54687 ;95,02119 ;61,30 ;153,88 ;118,16 ;114,91 ;67,14219
10/2017;95,51355 ;95,33024 ;63,00 ;155,52 ;119,31 ;116,44 ;55,30839
11/2017;94,88818 ;95,35375 ;66,90 ;153,23 ;123,43 ;119,96 ;57,89650
12/2017;95,47320 ;96,88334 ;66,58 ;152,44 ;120,12 ;117,75 ;69,81403
01/2018;92,89422 ;96,23376 ;70,67 ;161,35 ;122,25 ;121,73 ;72,56817
02/2018;91,16289 ;95,92073 ;66,26 ;163,21 ;123,17 ;120,98 ;121,68798
03/2018;99,29719 ;95,90791 ;66,87 ;156,11 ;119,23 ;117,80 ;161,18821
04/2018;97,46552 ;96,45391 ;70,62 ;158,59 ;116,75 ;117,93 ;148,19578
05/2018;92,76368 ;93,55771 ;76,03 ;157,78 ;118,44 ;120,71 ;81,70534
06/2018;96,02785 ;96,16006 ;76,14 ;157,94 ;116,94 ;119,90 ;93,45106
07/2018;98,91597 ;96,51114 ;75,38 ;145,76 ;116,49 ;117,63 ;116,11032
08/2018;100,53101 ;97,27026 ;75,25 ;141,04 ;114,24 ;115,58 ;92,13352
09/2018;95,18564 ;96,69679 ;78,89 ;138,43 ;114,90 ;116,89 ;72,57978
10/2018;98,20333 ;97,00729 ;81,37 ;141,66 ;118,26 ;120,26 ;63,27022
11/2018;96,70535 ;97,18708 ;72,29 ;138,37 ;118,32 ;116,59 ;64,21091
12/2018;95,81611 ;97,57527 ;64,92 ;138,57 ;118,55 ;113,98 ;71,41811
01/2019;93,83454 ;97,44915 ;63,01 ;140,45 ;119,39 ;114,01 ;72,86001
02/2019;93,99226 ;96,71730 ;63,93 ;145,69 ;119,27 ;115,02 ;128,02245
03/2019;97,46566 ;96,16830 ;65,47 ;146,99 ;117,01 ;114,38 ;167,04757
04/2019;97,86431 ;96,23201 ;66,79 ;145,10 ;116,72 ;114,42 ;153,39759
05/2019;97,74520 ;97,54137 ;65,09 ;138,58 ;110,75 ;109,32 ;86,35937
06/2019;94,72066 ;96,97627 ;58,18 ;137,33 ;112,45 ;107,70 ;90,92732
07/2019;100,36001 ;96,70067 ;60,25 ;136,46 ;113,68 ;109,16 ;118,38913
08/2019;99,64976 ;96,93426 ;56,23 ;132,28 ;106,57 ;102,93 ;90,11339
09/2019;96,89372 ;97,31506 ;59,78 ;135,08 ;108,12 ;105,61 ;70,00498
10/2019;100,32662 ;98,48077 ;58,19 ;135,47 ;114,25 ;108,87 ;61,52208
11/2019;97,49333 ;98,09974 ;60,39 ;133,53 ;119,17 ;112,33 ;61,23209
12/2019;96,56648 ;97,80431 ;60,28 ;133,18 ;122,68 ;114,38 ;68,30306
01/2020;94,02717 ;97,93174 ;57,95 ;134,77 ;124,14 ;114,64 ;72,87158
02/2020;94,32374 ;98,07372 ;51,74 ;128,66 ;119,42 ;108,68 ;133,71159
03/2020;95,59387 ;91,45784 ;36,82 ;118,51 ;104,58 ;92,81 ;175,60013
04/2020;83,78478 ;83,18286 ;32,32 ;115,63 ;97,42 ;86,43 ;157,59052
05/2020;84,48401 ;85,81922 ;34,72 ;119,28 ;103,18 ;91,51 ;86,44835
06/2020;89,05321 ;89,62756 ;39,55 ;127,76 ;103,52 ;94,64 ;93,50454
07/2020;95,69757 ;91,98253 ;42,00 ;136,58 ;107,99 ;99,47 ;119,58843
08/2020;95,21360 ;93,72629 ;45,63 ;148,63 ;112,40 ;105,17 ;89,63234
09/2020;96,06677 ;95,65664 ;44,89 ;148,63 ;116,03 ;107,07 ;70,91109
10/2020;98,01509 ;97,48952 ;46,21 ;148,08 ;117,53 ;108,43 ;59,68051
11/2020;96,68356 ;97,51753 ;46,50 ;154,61 ;122,21 ;112,34 ;60,80073
12/2020;97,50437 ;97,68310 ;50,28 ;163,70 ;125,35 ;116,95 ;69,71192
01/2021;92,11200 ;97,93804 ;53,81 ;168,87 ;134,30 ;124,42 ;71,52614
02/2021;94,07584 ;98,86548 ;58,87 ;181,47 ;140,10 ;131,58 ;142,57868
03/2021;101,24463 ;95,30513 ;60,80 ;184,01 ;140,31 ;132,87 ;190,32802
04/2021;97,30797 ;96,45156 ;61,52 ;190,36 ;144,19 ;136,47 ;170,93396
